satisfaction_id,reservation_id,guest_key,property_key,survey_date,overall_rating,service_rating,room_rating,dining_rating,value_rating,recommend_likelihood,comments
1,1,1,1,2025-01-19,5,5,5,5,4,10,Exceptional stay with outstanding service
2,2,2,2,2025-01-24,4,4,4,4,4,8,Very good experience overall
3,3,3,3,2025-02-05,5,5,5,4,5,10,Perfect location and excellent staff
4,4,4,5,2025-02-18,4,4,5,4,4,8,Beautiful mountain views and comfortable room
5,5,5,4,2025-02-23,3,3,4,3,3,6,Average experience could be improved
6,6,6,7,2025-03-06,5,5,4,5,4,9,Outstanding dining and spa services
7,7,7,6,2025-03-14,4,4,4,4,5,8,Good value for money
8,8,8,1,2025-03-19,5,5,5,5,4,10,Amazing beachfront location
9,9,9,8,2025-04-04,3,3,3,4,4,7,Decent stay but room could be better
10,10,10,2,2025-04-16,5,5,5,5,3,10,Luxury suite exceeded expectations
11,11,1,3,2025-04-26,4,4,4,4,4,8,Consistent quality as expected
12,12,2,1,2025-05-05,5,5,5,5,5,10,Perfect romantic getaway
13,13,3,5,2025-05-19,4,4,5,3,4,8,Great mountain views
14,14,4,7,2025-06-06,5,5,4,5,4,9,Excellent spa and wellness facilities
15,15,5,6,2025-06-14,4,4,4,4,4,8,Professional business environment
